Kel. Umur,Laki-laki,Perempuan,Sensus Penduduk (Laki-laki + Perempuan) (Jiwa)
00 - 04,64063,61484,125547
05-Sep,65757,62429,128186
Okt-14,65406,61087,126493
15 - 19,59065,54035,113100
20 - 24,52047,50356,102403
25 - 29,62675,60610,123285
30 - 34,58611,56666,115277
35 - 39,59127,58941,118068
40 - 44,58423,59604,118027
45 - 49,52101,54093,106194
50 - 54,44368,43539,87907
55 - 59,34979,32769,67748
60 - 64,24353,25640,49993
65 - 69,20598,22570,43168
70 - 74,14245,18441,32686
75 +,16974,24599,41573

